"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+0020",1,1,"SPACE","Space"," "," ","U+0020"
"U+0021",490,490,"EXCLAMATION MARK","Exclamation mark","!","!","U+0021"
"U+0022",503,503,"QUOTATION MARK","Quotation mark","""","""","U+0022"
"U+0023",593,593,"NUMBER SIGN","Number sign","#","#","U+0023"
"U+0024",554,555,"DOLLAR SIGN","Dollar","$","%","U+0025"
"U+0025",554,554,"PERCENT SIGN","Percent","%","%","U+0025"
"U+0026",534,534,"AMPERSAND","Ampersand","&","&","U+0026"
"U+0027",498,498,"APOSTROPHE","Apostrophe","'","'","U+0027"
"U+0028",451,451,"LEFT PARENTHESIS","Left parenthesis","(","(","U+0028"
"U+0029",451,452,"RIGHT PARENTHESIS","Right parenthesis",")","(","U+0028"
"U+002a",476,480,"ASTERISK","Asterisk","*","×","U+00d7"
"U+002b",467,467,"PLUS SIGN","Plus","+","+","U+002b"
"U+002c",485,485,"COMMA","Comma",",",",","U+002c"
"U+002d",471,471,"HYPHEN-MINUS","Minus","-","-","U+002d"
"U+002e",487,487,"FULL STOP","Full stop",".",".","U+002e"
"U+002f",482,482,"SOLIDUS","Slash","/","/","U+002f"
"U+0030",10,10,"DIGIT ZERO","Digit 0","0","0","U+0030"
"U+0031",15,15,"DIGIT ONE","Digit 1","1","1","U+0031"
"U+0032",22,22,"DIGIT TWO","Digit 2","2","2","U+0032"
"U+0033",26,26,"DIGIT THREE","Digit 3","3","3","U+0033"
"U+0034",31,31,"DIGIT FOUR","Digit 4","4","4","U+0034"
"U+0035",35,35,"DIGIT FIVE","Digit 5","5","5","U+0035"
"U+0036",39,39,"DIGIT SIX","Digit 6","6","6","U+0036"
"U+0037",43,43,"DIGIT SEVEN","Digit 7","7","7","U+0037"
"U+0038",47,47,"DIGIT EIGHT","Digit 8","8","8","U+0038"
"U+0039",51,51,"DIGIT NINE","Digit 9","9","9","U+0039"
"U+003a",494,494,"COLON","Colon",":",":","U+003a"
"U+003b",497,497,"SEMICOLON","Semicolon",";",";","U+003b"
"U+003c",540,541,"LESS-THAN SIGN","Less than","<","≪","U+226a"
"U+003d",540,545,"EQUALS SIGN","Equal","=","≪","U+226a"
"U+003e",540,552,"GREATER-THAN SIGN","Greater than",">","≪","U+226a"
"U+003f",492,492,"QUESTION MARK","Question mark","?","?","U+003f"
"U+0040",510,510,"COMMERCIAL AT","At","@","@","U+0040"
"U+0041",63,63,"LATIN CAPITAL LETTER A","A","A","A","U+0041"
"U+0042",89,89,"LATIN CAPITAL LETTER B","B","B","B","U+0042"
"U+0043",95,95,"LATIN CAPITAL LETTER C","C","C","C","U+0043"
"U+0044",109,109,"LATIN CAPITAL LETTER D","D","D","D","U+0044"
"U+0045",121,121,"LATIN CAPITAL LETTER E","E","E","E","U+0045"
"U+0046",147,147,"LATIN CAPITAL LETTER F","F","F","F","U+0046"
"U+0047",153,153,"LATIN CAPITAL LETTER G","G","G","G","U+0047"
"U+0048",161,161,"LATIN CAPITAL LETTER H","H","H","H","U+0048"
"U+0049",170,170,"LATIN CAPITAL LETTER I","I","I","I","U+0049"
"U+004a",193,193,"LATIN CAPITAL LETTER J","J","J","J","U+004a"
"U+004b",199,199,"LATIN CAPITAL LETTER K","K","K","K","U+004b"
"U+004c",205,205,"LATIN CAPITAL LETTER L","L","L","L","U+004c"
"U+004d",217,217,"LATIN CAPITAL LETTER M","M","M","M","U+004d"
"U+004e",223,223,"LATIN CAPITAL LETTER N","N","N","N","U+004e"
"U+004f",236,236,"LATIN CAPITAL LETTER O","O","O","O","U+004f"
"U+0050",261,261,"LATIN CAPITAL LETTER P","P","P","P","U+0050"
"U+0051",267,267,"LATIN CAPITAL LETTER Q","Q","Q","Q","U+0051"
"U+0052",274,274,"LATIN CAPITAL LETTER R","R","R","R","U+0052"
"U+0053",285,285,"LATIN CAPITAL LETTER S","S","S","S","U+0053"
"U+0054",298,298,"LATIN CAPITAL LETTER T","T","T","T","U+0054"
"U+0055",309,309,"LATIN CAPITAL LETTER U","U","U","U","U+0055"
"U+0056",333,333,"LATIN CAPITAL LETTER V","V","V","V","U+0056"
"U+0057",339,339,"LATIN CAPITAL LETTER W","W","W","W","U+0057"
"U+0058",347,347,"LATIN CAPITAL LETTER X","X","X","X","U+0058"
"U+0059",357,357,"LATIN CAPITAL LETTER Y","Y","Y","Y","U+0059"
"U+005a",371,371,"LATIN CAPITAL LETTER Z","Z","Z","Z","U+005a"
"U+005b",453,453,"LEFT SQUARE BRACKET","Left square bracket","[","[","U+005b"
"U+005c",482,483,"REVERSE SOLIDUS","Back slash","\","/","U+002f"
"U+005d",453,457,"RIGHT SQUARE BRACKET","Right square bracket","]","[","U+005b"
"U+005e",484,484,"CIRCUMFLEX ACCENT","Circumplex accent","^","^","U+005e"
"U+005f",511,511,"LOW LINE","Underscore","_","_","U+005f"
"U+0061",63,64,"LATIN SMALL LETTER A","a","a","A","U+0041"
"U+0062",89,90,"LATIN SMALL LETTER B","b","b","B","U+0042"
"U+0063",95,96,"LATIN SMALL LETTER C","c","c","C","U+0043"
"U+0064",109,110,"LATIN SMALL LETTER D","d","d","D","U+0044"
"U+0065",121,122,"LATIN SMALL LETTER E","e","e","E","U+0045"
"U+0066",147,148,"LATIN SMALL LETTER F","f","f","F","U+0046"
"U+0067",153,154,"LATIN SMALL LETTER G","g","g","G","U+0047"
"U+0068",161,162,"LATIN SMALL LETTER H","h","h","H","U+0048"
"U+0069",170,171,"LATIN SMALL LETTER I","i","i","I","U+0049"
